"Product","Status","5K Pricing","CPU","Architecture","Family/Core","Program Memory Size (Kbytes)","Program Memory Size (KWords)","Bootload capable","RAM (bytes)","EEPROM / HEF","I/O Pins","Pin count","Max. CPU Speed MHz","Peripheral Pin Select (PPS)","Vbat for battery backup","Brown-Out Reset (BOR)","Low Voltage Detection","Power On Reset (POR)","Internal Oscillator","Hardware RTCC","Watch Dog Timers (WDT)","# of Comparators","Operational Amplifier","# of A/D Converters","Total # of A/D channels","Max A/D Resolution (bits)","ADC Mode:Max A/D Sample Rate (ksps)","ADCC with Computation","Number of D/A Converters","Number of DAC outputs","Max D/A Resolution (bits)","Internal Voltage Reference (Bandgap)","Zero Cross detect","Slope Compensation / Programmable Ramp Generator","Data Signal Modulator (DSM)","CTMU","Max 8 Bit Digital Timers","Max 16 Bit Digital Timers","Signal Measurement Timer","Hardware Limit Timer","Stand alone PWM","Capture / Compare/PWM (CCP)","Enhanced Capture/Compare/PWM (ECCP)","Max # PWM outputs (including complementary outputs)","Number of PWM Time Bases","Max PWM Resolution (bits)","Quadrature Encoder Interface (QEI)","Angular Timer","Math Accelerator","UART","SPI™","I2C","Number of USB Modules","USB Speed","USB Active Clock Tuning","# of CAN Modules","CAN Transmit Buffers","CAN Receive Buffers","Ethernet","LIN","IrDA","Parallel Port","Windowed Watchdog Timer (WWDT)","CRC/Scan","Configurable Logic Cell Modules (CLC)","Complementary Waveform Generator (CWG) / Complementary Output Generator (COG)","Numerically Controlled Oscillator (NCO)","Programmable switched mode controller","Hardware Cap Voltage Divider ","Cap. Touch Channels","Segment LCD","Keeloq Hardware","Security, Encryption and Authentication ","JTAG","Temp. Range Min.","Temp. Range Max.","Operation Voltage Min.(V)","Operation Voltage Max.(V)","High Voltage Capable","Packages"
" AT32UC3A4256","In Production ","$6.51","32-bit AVR","32"," ","256","64","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
" AT32UC3A4256S","In Production ","$6.76","32-bit AVR","32"," ","256","64","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
" AT32UC3A464","In Production ","$5.45","32-bit AVR","32"," ","64","16","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
" AT32UC3A464S","In Production ","$5.25","32-bit AVR","32"," ","64","16","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
" AT32UC3B0128","In Production ","$4.25","32-bit AVR","32"," ","128","32","Yes","32768","0","44","64","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","3","4","1","1","Device + OTG","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3B0256","In Production ","$4.83","32-bit AVR","32"," ","256","64","Yes","32768","0","44","64","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","3","4","1","1","Device + OTG","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3B0512","In Production ","$5.93","32-bit AVR","32"," ","512","128","Yes","98304","0","44","64","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","3","4","1","1","Device + OTG","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3B064","In Production ","$3.59","32-bit AVR","32"," ","64","16","Yes","16384","0","44","64","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","3","4","1","1","Device + OTG","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3B1128","In Production ","$4.03","32-bit AVR","32"," ","128","32","Yes","32768","0","28","48","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","6","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","2","3","1","1","Device","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","48/TQFP 48/VQFN"
" AT32UC3B1256","In Production ","$4.58","32-bit AVR","32"," ","256","64","Yes","32768","0","28","48","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","6","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","2","3","1","1","Device","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","48/TQFP 48/VQFN"
" AT32UC3B1512","In Production ","$5.62","32-bit AVR","32"," ","512","128","Yes","98304","0","28","48","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","6","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","2","3","1","1","Device","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","48/VQFN"
" AT32UC3B164","In Production ","$3.40","32-bit AVR","32"," ","64","16","Yes","16384","0","28","48","60","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","6","10","384","No","1","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","2","3","1","1","Device","No","0","0","0","None","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","48/TQFP 48/VQFN"
" AT32UC3C0128C","In Production ","$6.11","32-bit AVR","32"," ","128","128","Yes","36864","0","123","144","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","20","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","EBI","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP"
" AT32UC3C0256C","In Production ","$7.51","32-bit AVR","32"," ","256","32","Yes","69632","0","123","144","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","20","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","EBI","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP"
" AT32UC3C0512C","In Production ","$8.86","32-bit AVR","32"," ","512","32","Yes","69632","0","123","144","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","20","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP"
" AT32UC3C0512C-AUTOMOTIVE","In Production ","Call for pricing","32-bit AVR","32"," ","512","32","Yes","69632","0","123","144","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","20","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP"
" AT32UC3C064C","In Production ","$6.12","32-bit AVR","32"," ","64","64","Yes","20480","0","123","144","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","20","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","EBI","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP"
" AT32UC3C1128C","In Production ","$5.81","32-bit AVR","32"," ","128","64","Yes","36864","0","81","100","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","19","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3C1256C","In Production ","$7.01","32-bit AVR","32"," ","256","16","Yes","69632","0","81","100","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","19","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3C1512C","In Production ","$8.27","32-bit AVR","32"," ","512","16","Yes","69632","0","81","100","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","19","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3C1512C-AUTOMOTIVE","In Production ","$8.13","32-bit AVR","32"," ","512","16","Yes","69632","0","81","100","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","19","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3C164C","In Production ","$5.24","32-bit AVR","32"," ","64","32","Yes","20480","0","81","100","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","4","0","1","16","12","2000","No","2","4","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","19","0","0","2","No","No","5","7","3","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3C2128C","In Production ","$5.30","32-bit AVR","32"," ","128","32","Yes","36864","0","45","64","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","2","0","1","11","12","2000","No","1","2","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","14","0","0","1","No","No","4","5","2","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3C2256C","In Production ","$6.51","32-bit AVR","32"," ","256","64","Yes","69632","0","45","64","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","2","0","1","11","12","2000","No","1","2","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","14","0","0","1","No","No","4","5","2","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3C2512C","In Production ","$6.46","32-bit AVR","32"," ","512","64","Yes","69632","0","45","64","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","2","0","1","11","12","2000","No","1","2","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","14","0","0","1","No","No","4","5","2","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3C2512C-AUTOMOTIVE","In Production ","Call for pricing","32-bit AVR","32"," ","512","64","Yes","69632","0","45","64","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","2","0","1","11","12","2000","No","1","2","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","14","0","0","1","No","No","4","5","2","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3C264C","In Production ","$4.78","32-bit AVR","32"," ","64","16","Yes","20480","0","45","64","66","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","2","0","1","11","12","2000","No","1","2","12","Yes","No","0"," ","No","0","6","0","0","0","0","0","14","0","0","1","No","No","4","5","2","1","Device + OTG","No","2","0","0","Ethernet AVB","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","64/TQFP 64/VQFN"
" AT32UC3L0128","In Production ","$4.43","32-bit AVR","32","AT32UC3L0","128","32","Yes","32768","0","36","48","50","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","8","0","1","8","12","460","No","0","0","0","Yes","No","0"," ","No","0","6","0","0","0","0","0","35","0","0","0","No","No","4","5","2","0","None","No","0","0","0","None","No","No","No","No","No","1","0","0","0","No","17","0","No","No","Debug/Program/Boundary Scan","-40","85","1.62","3.6","No","48/TQFP 48/TLLGA 48/VQFN 48/XFLGA"
" AT32UC3L0256","In Production ","$5.15","32-bit AVR","32","AT32UC3L0","256","64","Yes","32768","0","36","48","50","Yes","No"," "," ","Yes","120Mhz, 8Mhz, 115Khz ","Yes","Yes","8","0","1","8","12","460","No","0","0","0","Yes","No","0"," ","No","0","6","0","0","0","0","0","35","0","0","0","No","No","4","5","2","0","None","No","0","0","0","None","No","No","No","No","No","1","0","0","0","No","17","0","No","No","Debug/Program/Boundary Scan","-40","85","1.62","3.6","No","48/TQFP 48/TLLGA 48/VQFN"
" AT91SAM7S128","In Production ","$4.86","ARM7TDMI","32","AT91SAM7S","128","32","No","32768","0","32","64","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","3","1","1","1","None","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","64/LQFP 64/VQFN"
" AT91SAM7S256","In Production ","$5.98","ARM7TDMI","32","AT91SAM7S","256","64","No","65536","0","32","64","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","3","1","1","1","None","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","64/LQFP 64/VQFN"
" AT91SAM7S32","In Production ","$2.89","ARM7TDMI","32","AT91SAM7S","32","8","No","8192","0","21","48","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","1","1","1","0","None","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","48/LQFP 48/VQFN"
" AT91SAM7S321","In Production ","$3.28","ARM7TDMI","32"," ","32","8","No","8192","0","32","64","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","3","1","1","1","Device","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","48/VQFN"
" AT91SAM7S512","In Production ","$7.75","ARM7TDMI","32","AT91SAM7S","512","128","No","65536","0","32","64","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","3","1","1","1","None","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","64/LQFP 64/VQFN"
" AT91SAM7S64","In Production ","$3.99","ARM7TDMI","32","AT91SAM7S","64","16","No","16384","0","32","64","55","Yes","No"," "," ","Yes","32Khz "," ","No","0","0","1","8","10","384","No","0","0","0","Yes","No","0"," ","No","0","3","0","0","0","0","0","4","0","0","0","No","No","3","1","1","1","None","No","0","0","0","None"," ","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","64/LQFP 64/VQFN"
